id,birth,male,hgc,edu,urb,hispanic,black,high_school_dropout,high_school_graduate,some_college,college_graduate,above_college,protestant,catholic,sinbeg1,sinend1,sindur1,sinrc1,marbeg1,marend1,mardur1,marrc1,sinbeg2,sinend2,sindur2,sinrc2,marbeg2,marend2,mardur2,marrc2,sinbeg3,sinend3,sindur3,sinrc3,marbeg3,marend3,mardur3,marrc3,sinbeg4,sinend4,sindur4,sinrc4,marbeg4,marend4,mardur4,marrc4,age_sinbeg1,age_sinend1,age_marbeg1,age_marend1,age_sinbeg2,age_sinend2,age_marbeg2,age_marend2,age_sinbeg3,age_sinend3,age_marbeg3,age_marend3,age_sinbeg4,age_sinend4,age_marbeg4,age_marend4,mar1spouse_hgc,mar1spouse_edu,mar2spouse_hgc,mar2spouse_edu,mar3spouse_hgc,mar3spouse_edu,mar4spouse_hgc,mar4spouse_edu,spouse_age_marbeg1,spouse_age_marbeg2,spouse_age_marbeg3,spouse_age_marbeg4,spouse_age_marend1,spouse_age_marend2,spouse_age_marend3,spouse_age_marend4,mar1_age_spouse_age,mar2_age_spouse_age,mar3_age_spouse_age,mar4_age_spouse_age,mar1_edu_equal,mar1_edu_spouseHigher,mar2_edu_equal,mar2_edu_spouseHigher,mar3_edu_equal,mar3_edu_spouseHigher,mar4_edu_equal,mar4_edu_spouseHigher,mar1_spouseEdu_NA,mar2_spouseEdu_NA,mar3_spouseEdu_NA,mar4_spouseEdu_NA,mar1_spouseAge_NA,mar2_spouseAge_NA,mar3_spouseAge_NA,mar4_spouseAge_NA,mar1_age_diff,mar2_age_diff,mar3_age_diff,mar4_age_diff,mar1spouse_hsd,mar1spouse_hsg,mar1spouse_sc,mar1spouse_cg,mar1spouse_ac,mar2spouse_hsd,mar2spouse_hsg,mar2spouse_sc,mar2spouse_cg,mar2spouse_ac,mar3spouse_hsd,mar3spouse_hsg,mar3spouse_sc,mar3spouse_cg,mar3spouse_ac,mar4spouse_hsd,mar4spouse_hsg,mar4spouse_sc,mar4spouse_cg,mar4spouse_ac
7127,1960,0,12,1,1.0,0,1,0,1,0,0,0,1,0,1976,-999,43.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7128,1961,0,13,2,1.0,0,1,0,0,1,0,0,1,0,1977,1993,16.0,0,1993.0,2001.0,8.0,0.0,2001.0,2001.0,1.0,0.0,2001.0,-996.0,18.0,1.0,,,,,,,,,,,,,,,,,16.0,32.0,32.0,40.0,40.0,40.0,40.0,,,,,,,,,,12.0,1.0,12.0,1.0,,,,,,33.0,,,,,,,,1320.0,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,1.0,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,
7129,1963,1,12,1,1.0,0,1,0,1,0,0,0,1,0,1979,1988,9.0,0,1988.0,-998.0,31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,25.0,25.0,,,,,,,,,,,,,,12.0,1.0,,,,,,,24.0,,,,,,,,600.0,,,,1.0,0.0,,,,,,,0.0,,,,0.0,,,,1.0,,,,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
7130,1959,0,15,2,1.0,0,1,0,0,1,0,0,0,0,1975,-999,44.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7131,1959,1,13,2,1.0,0,1,0,0,1,0,0,0,1,1975,1999,24.0,0,1999.0,-998.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,40.0,40.0,,,,,,,,,,,,,,12.0,1.0,,,,,,,45.0,,,,,,,,1800.0,,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,,-5.0,,,,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
7132,1959,1,12,1,1.0,0,1,0,1,0,0,0,1,0,1975,1980,5.0,0,1980.0,1987.0,7.0,0.0,1987.0,-997.0,32.0,1.0,,,,,,,,,,,,,,,,,,,,,16.0,21.0,21.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7133,1961,1,12,1,1.0,0,1,0,1,0,0,0,0,0,1977,1990,13.0,0,1990.0,-998.0,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,29.0,29.0,,,,,,,,,,,,,,12.0,1.0,,,,,,,23.0,,,,,,,,667.0,,,,1.0,0.0,,,,,,,0.0,,,,0.0,,,,6.0,,,,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
7134,1960,1,12,1,0.0,0,1,0,1,0,0,0,1,0,1976,1991,15.0,0,1991.0,2010.0,19.0,0.0,2010.0,-997.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,16.0,31.0,31.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,36.0,,,,55.0,,,,1116.0,,,,,,,,,,,,1.0,,,,0.0,,,,-5.0,,,,,,,,,,,,,,,,,,,,,,,
7135,1958,1,11,0,1.0,0,1,1,0,0,0,0,1,0,1974,-999,45.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7136,1959,1,12,1,1.0,0,1,0,1,0,0,0,1,0,1975,-999,44.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7137,1961,0,14,2,1.0,0,1,0,0,1,0,0,1,0,1977,-999,42.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7138,1957,0,12,1,1.0,0,1,0,1,0,0,0,1,0,1973,1984,11.0,0,1984.0,-998.0,35.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7139,1959,0,10,0,1.0,0,1,1,0,0,0,0,1,0,1975,-999,44.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7140,1960,1,12,1,1.0,0,1,0,1,0,0,0,1,0,1976,1984,8.0,0,1984.0,2001.0,17.0,0.0,2001.0,2001.0,1.0,0.0,2001.0,2009.0,8.0,0.0,2009.0,-995.0,10.0,1.0,,,,,,,,,,,,,16.0,24.0,24.0,41.0,41.0,41.0,41.0,49.0,49.0,,,,,,,,11.0,0.0,11.0,0.0,,,,,,38.0,,,,46.0,,,,1558.0,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
7141,1962,1,12,1,1.0,0,1,0,1,0,0,0,1,0,1978,-999,41.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7142,1963,1,12,1,1.0,0,1,0,1,0,0,0,1,0,1979,-999,40.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7143,1961,1,17,4,1.0,0,1,0,0,0,0,1,1,0,1977,1986,9.0,0,1986.0,2005.0,19.0,0.0,2005.0,2005.0,1.0,0.0,2005.0,-996.0,14.0,1.0,,,,,,,,,,,,,,,,,16.0,25.0,25.0,44.0,44.0,44.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
